,1KB,2KB,4KB,8KB,16KB,32KB,64KB,128KB,256KB,512KB,1024KB
Fully,0.302787,0.225288,0.166772,0.130494,0.103514,0.0753803,0.0398477,0.0271651,0.0271651,0.0271651,0.0271651
1 way(s),0.34904,0.273534,0.216798,0.164172,0.127217,0.0891291,0.0604583,0.0364324,0.0311933,0.0247622,0.0246952
2 way(s),0.320333,0.238488,0.179841,0.143809,0.110439,0.078969,0.046723,0.0309128,0.0243118,0.0242734,0.0240956
4 way(s),0.30684,0.229924,0.168346,0.133099,0.10669,0.0768369,0.0418029,0.0260445,0.0242975,0.0240956,0.0240956
8 way(s),0.303846,0.226835,0.166171,0.130583,0.104708,0.0757771,0.0397673,0.0247273,0.0241939,0.0241197,0.0240956
16 way(s),0.302107,0.226044,0.165516,0.129882,0.104232,0.0752204,0.0386253,0.0254896,0.0244977,0.0241939,0.0241197
